	AC010789.1	MIS18A-AS1	LINC00659	LINC02575	LINC00486	MIR205HG	LINC01436	MIR4280HG	LINC01115	LINC02428	AC226118.1	PURPL	MIR3142HG	LINC01300	PKIA-AS1	LINC02688	AC016705.1	AL035425.3	NFE2L1-DT	LINC02675	LINC00668	FENDRR	AC132192.2	AC010359.2	AC099343.2	AL353708.3	AP001412.1	AL355512.1	PICSAR	AC092117.1	AL139123.1	AC087239.1	AC207130.1	AL358777.3	AC211476.6	AC133530.1	AL513128.3	AC053545.1	state
tm1	0	9	31	9	1	1568	19	3	0	0	11	0	59	1	3	89	1	3	34	1	34	29	38	11	13	4	4	14	9	75	8	11	2	5	6	63	7	2	1
tm2	0	1	79	1	0	0	3	11	0	0	3	0	35	2	3	17	2	3	8	1	0	30	15	0	3	5	1	0	0	12	2	6	0	3	1	0	4	3	1
tm3	0	8	119	13	2	68	75	13	0	3	14	2	47	2	5	34	0	0	20	0	0	956	29	9	21	15	2	5	3	36	13	1	0	14	7	6	38	2	1
tm4	3	9	49	81	1	2	1865	4	0	120	52	2	83	37	5	681	2	1	28	4	2	227	26	12	18	13	0	4	160	137	7	18	2	7	3	2	10	0	1
tm5	0	10	43	10	0	71	42	4	1	13	7	0	122	8	3	1032	2	4	25	0	2	161	49	14	22	11	7	3	1	65	21	23	1	23	13	8	13	14	1
tm6	0	3	55	12	0	0	59	4	4	1	17	1	40	16	2	42	1	30	17	0	0	269	7	7	11	8	1	2	0	39	9	5	0	8	4	3	7	9	1
tm7	0	23	3	3	2	0	50	9	37	0	2	3	108	2	7	12	1	3	34	0	0	129	29	9	14	7	5	1	0	146	8	11	0	12	8	0	22	6	1
tm8	1	6	9	18	0	57	95	7	1	0	6	2	61	9	1	159	0	1	11	0	0	335	25	11	25	5	4	3	6	60	13	11	0	7	5	6	9	14	1
tm9	0	5	59	25	98	24	229	9	1	1	27	1	66	4	4	69	1	5	20	1	1	324	36	8	15	5	1	7	4	129	9	11	0	6	4	58	19	7	1
tm10	0	11	15	10	1	1	27	2	2	0	2	1	44	2	7	1448	1	3	16	0	3	268	8	5	15	4	2	4	30	53	1	6	1	10	2	0	3	8	1
tm11	0	5	13	3	0	0	74	3	0	6	14	0	31	120	1	249	0	0	8	0	0	856	7	14	10	13	0	2	3	28	5	5	1	3	0	2	19	3	1
tm12	0	4	5	5	1	1	5	6	53	0	6	0	48	1	1	61	0	5	16	2	6	209	5	6	10	9	3	4	0	57	2	2	0	5	0	3	11	4	1
tm13	0	6	18	74	2	13	4	7	1	7	6	1	18	18	0	544	0	4	29	1	270	122	24	8	6	13	4	2	1	93	14	13	0	6	9	3	12	2	1
tm14	0	4	9	2	2	8	28	7	2	0	12	23	70	0	3	556	0	5	15	1	0	91	32	13	12	8	7	8	56	29	7	14	0	18	11	6	17	7	1
